Event	ID	Name			Wwise Object Path	Notes
	12037501	Play_Female_2			\Default Work Unit\Dialogue\Play_Female_2	
	12037502	Play_Female_1			\Default Work Unit\Dialogue\Play_Female_1	
	78959178	Play_Perfect_Success_MM			\Default Work Unit\Mastermind\Play_Perfect_Success_MM	
	137136592	Stop_Timer_MM			\Default Work Unit\Mastermind\Stop_Timer_MM	
	255665978	Play_Traychange			\Default Work Unit\Spot The Difference\Play_Traychange	
	285585700	Play_Button_1_Back			\Default Work Unit\Play_Button_1_Back	
	373779144	Play_Achieved_Star_2_MM			\Default Work Unit\Mastermind\Play_Achieved_Star_2_MM	
	613200756	Play_Incorrect_MM			\Default Work Unit\Mastermind\Play_Incorrect_MM	
	669756158	Play_Success_Click			\Default Work Unit\Spot The Difference\Play_Success_Click	
	809872068	Play_Bird_FX			\Default Work Unit\Dialogue\Play_Bird_FX	
	1525146681	Play_Room_Construction			\Default Work Unit\Play_Room_Construction	
	1904880498	Play_Timer_MM			\Default Work Unit\Mastermind\Play_Timer_MM	
	2006714128	Play_Cow_FX			\Default Work Unit\Dialogue\Play_Cow_FX	
	2507233091	Play_Button_Press_MM			\Default Work Unit\Mastermind\Play_Button_Press_MM	
	2651468245	Play_Male_1			\Default Work Unit\Dialogue\Play_Male_1	
	2651468246	Play_Male_2			\Default Work Unit\Dialogue\Play_Male_2	
	3090597779	Stop_Timer			\Default Work Unit\Spot The Difference\Stop_Timer	
	3265454808	Play_Button_1_Forward			\Default Work Unit\Play_Button_1_Forward	
	3363805320	Play_Achieved_Star_1			\Default Work Unit\Spot The Difference\Play_Achieved_Star_1	
	3363805322	Play_Achieved_Star_3			\Default Work Unit\Spot The Difference\Play_Achieved_Star_3	
	3363805323	Play_Achieved_Star_2			\Default Work Unit\Spot The Difference\Play_Achieved_Star_2	
	3395104279	Play_Achieved_Star_3_MM			\Default Work Unit\Mastermind\Play_Achieved_Star_3_MM	
	3433894677	Play_Achieved_Star_1_MM			\Default Work Unit\Mastermind\Play_Achieved_Star_1_MM	
	3674045305	Play_Incorrect_2_MM			\Default Work Unit\Mastermind\Play_Incorrect_2_MM	
	3797117088	Play_Missed_Click			\Default Work Unit\Spot The Difference\Play_Missed_Click	
	4151623957	Play_Perfect_Success			\Default Work Unit\Spot The Difference\Play_Perfect_Success	
	4169444829	Play_Timer			\Default Work Unit\Spot The Difference\Play_Timer	
	4204490207	Play_Cotards_FX			\Default Work Unit\Dialogue\Play_Cotards_FX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5429521	SuccessClick 3	D:\GitHub\ContagionComplex\LabRatZ_WwiseProject\.cache\Mac\SFX\SuccessClick 3_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spot the Difference\Success Click\SuccessClick 3		76020
	5609469	Dialogue_Male_1_6	D:\GitHub\ContagionComplex\LabRatZ_WwiseProject\.cache\Mac\SFX\Dialogue_Male_1_6_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dialogue\Male 1\Dialogue_Male_1_6		529140
	7835627	Achieved Star 2	D:\GitHub\ContagionComplex\LabRatZ_WwiseProject\.cache\Mac\SFX\Star success 2 MM_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mastermind\Achieved Star 2		1574808
	11526294	Dialogue_Female_2_4	D:\GitHub\ContagionComplex\LabRatZ_WwiseProject\.cache\Mac\SFX\Dialogue_Female_2_4_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dialogue\Female 2\Dialogue_Female_2_4		561956
	16559442	Dialogue_Male_2_7	D:\GitHub\ContagionComplex\LabRatZ_WwiseProject\.cache\Mac\SFX\Dialogue_Male_2_7_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dialogue\Male 2\Dialogue_Male_2_7		405308
	27921451	Dialogue_Female_1_10	D:\GitHub\ContagionComplex\LabRatZ_WwiseProject\.cache\Mac\SFX\Dialogue_Female_1_10_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dialogue\Female 1\Dialogue_Female_1_10		512788
	35556489	FX_Cow_8	D:\GitHub\ContagionComplex\LabRatZ_WwiseProject\.cache\Mac\SFX\FX_Cow_8_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dialogue\Cow FX\FX_Cow_8		390322
	55635926	Dialogue_Female_2_3	D:\GitHub\ContagionComplex\LabRatZ_WwiseProject\.cache\Mac\SFX\Dialogue_Female_2_3_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dialogue\Female 2\Dialogue_Female_2_3		572492
	63287814	Achieved Star 3	D:\GitHub\ContagionComplex\LabRatZ_WwiseProject\.cache\Mac\SFX\StarSuccess 3_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spot the Difference\Achieved Star 3		532208
	72868769	Button Press 7	D:\GitHub\ContagionComplex\LabRatZ_WwiseProject\.cache\Mac\SFX\Button Press 7_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mastermind\Button Press\Button Press 7		86060
